ticker,company,lat,lon,lat_round,lon_round
DAY,Dayforce,44.9772995,-93.2654692,44.98,-93.27
DECK,Deckers Brands,34.4358295,-119.8276389,34.44,-119.83
DE,Deere & Company,41.5058344,-90.5136642,41.51,-90.51
DELL,Dell Technologies,30.5085915,-97.6788056,30.51,-97.68
DAL,Delta Air Lines,33.7544657,-84.3898151,33.75,-84.39
DVN,Devon Energy,35.4729886,-97.5170536,35.47,-97.52
DXCM,Dexcom,32.7174202,-117.162772,32.72,-117.16
FANG,Diamondback Energy,31.83688,-102.0103767,31.84,-102.01
DG,Dollar General,36.3231067,-86.7133302,36.32,-86.71
DLTR,Dollar Tree,36.7168315,-76.2494453,36.72,-76.25
D,Dominion Energy,37.5385087,-77.43428,37.54,-77.43
DASH,DoorDash,37.7932754,-122.3963589,37.79,-122.4
DOV,Dover Corporation,41.7936822,-88.0102281,41.79,-88.01
DHI,D. R. Horton,32.7355816,-97.1071186,32.74,-97.11
DTE,DTE Energy,42.3315509,-83.0466403,42.33,-83.05
DUK,Duke Energy,35.2272086,-80.8430827,35.23,-80.84
EMN,Eastman Chemical Company,36.550238,-82.5594293,36.55,-82.56
ETN,Eaton Corporation,38.4168505,-86.9969385,38.42,-87.0
EBAY,eBay Inc.,37.3361663,-121.890591,37.34,-121.89
ECL,Ecolab,44.9497487,-93.0931028,44.95,-93.09
EIX,Edison International,34.0676169,-118.0879763,34.07,-118.09
EW,Edwards Lifesciences,33.6856969,-117.825981,33.69,-117.83
ELV,Elevance Health,39.7683331,-86.1583502,39.77,-86.16
EMR,Emerson Electric,38.744707,-90.3038975,38.74,-90.3
ENPH,Enphase Energy,37.5482697,-121.988571,37.55,-121.99
ETR,Entergy,29.9559145,-90.0730259,29.96,-90.07
EOG,EOG Resources,29.7589382,-95.3676974,29.76,-95.37
EPAM,EPAM Systems,40.2294046,-74.9365329,40.23,-74.94
EQT,EQT Corporation,40.4416941,-79.9900861,40.44,-79.99
EFX,Equifax,33.7544657,-84.3898151,33.75,-84.39
EQIX,Equinix,37.4863239,-122.232523,37.49,-122.23
EQR,Equity Residential,41.8755616,-87.6244212,41.88,-87.62
ERIE,Erie Indemnity,42.1294712,-80.0852695,42.13,-80.09
ESS,Essex Property Trust,37.496904,-122.3330573,37.5,-122.33
EL,Estée Lauder Companies (The),40.7127281,-74.0060152,40.71,-74.01
EG,Everest Group,35.9983557,-80.4341153,36.0,-80.43
EVRG,Evergy,39.100105,-94.5781416,39.1,-94.58
ES,Eversource Energy,41.764582,-72.6908547,41.76,-72.69
EXC,Exelon,41.8755616,-87.6244212,41.88,-87.62
EXE,Expand Energy,35.4729886,-97.5170536,35.47,-97.52
EXPE,Expedia Group,47.6038321,-122.330062,47.6,-122.33
EXPD,Expeditors International,47.6038321,-122.330062,47.6,-122.33
EXR,Extra Space Storage,40.7596198,-111.886797,40.76,-111.89
XOM,ExxonMobil,32.8295183,-96.9442177,32.83,-96.94
FFIV,"F5, Inc.",47.6038321,-122.330062,47.6,-122.33
FDS,FactSet,41.1175966,-73.4078968,41.12,-73.41
FICO,Fair Isaac,45.6794293,-111.044047,45.68,-111.04
FAST,Fastenal,44.0500054,-91.6392294,44.05,-91.64
FRT,Federal Realty Investment Trust,39.0817985,-77.1516844,39.08,-77.15
FDX,FedEx,35.1460249,-90.0517638,35.15,-90.05
FIS,Fidelity National Information Services,30.3321838,-81.655651,30.33,-81.66
FITB,Fifth Third Bancorp,39.1014537,-84.5124602,39.1,-84.51
FSLR,First Solar,33.4255117,-111.940016,33.43,-111.94
FE,FirstEnergy,41.083064,-81.518485,41.08,-81.52
FI,Fiserv,43.0615578,-88.1260678,43.06,-88.13
F,Ford Motor Company,42.3222599,-83.1763145,42.32,-83.18
FTNT,Fortinet,37.3688301,-122.036349,37.37,-122.04
FTV,Fortive,47.9793437,-122.2127011,47.98,-122.21
FOXA,Fox Corporation (Class A),40.7127281,-74.0060152,40.71,-74.01
FOX,Fox Corporation (Class B),40.7127281,-74.0060152,40.71,-74.01
BEN,Franklin Resources,37.496904,-122.3330573,37.5,-122.33
FCX,Freeport-McMoRan,33.4484367,-112.074141,33.45,-112.07
IT,Gartner,41.0534302,-73.5387341,41.05,-73.54
GE,GE Aerospace,39.2561691,-84.417997,39.26,-84.42
GEHC,GE HealthCare,41.8755616,-87.6244212,41.88,-87.62
GEV,GE Vernova,42.3656347,-71.1040018,42.37,-71.1
GEN,Gen Digital,33.4255117,-111.940016,33.43,-111.94
GNRC,Generac,43.0622536,-88.3123889,43.06,-88.31
GD,General Dynamics,38.882334,-77.1710914,38.88,-77.17
GIS,General Mills,44.9861176,-93.3784618,44.99,-93.38
GM,General Motors,42.3315509,-83.0466403,42.33,-83.05
GPC,Genuine Parts Company,33.7544657,-84.3898151,33.75,-84.39
GILD,Gilead Sciences,37.5600336,-122.2688522,37.56,-122.27
GPN,Global Payments,33.7544657,-84.3898151,33.75,-84.39
GL,Globe Life,33.1976496,-96.6154471,33.2,-96.62
GDDY,GoDaddy,33.4255117,-111.940016,33.43,-111.94
GS,Goldman Sachs,40.7127281,-74.0060152,40.71,-74.01
HAL,Halliburton,29.7589382,-95.3676974,29.76,-95.37
HIG,Hartford (The),41.764582,-72.6908547,41.76,-72.69
HAS,Hasbro,41.8789531,-71.3821203,41.88,-71.38
HCA,HCA Healthcare,36.1622767,-86.7742984,36.16,-86.77
DOC,Healthpeak Properties,39.7392364,-104.984862,39.74,-104.98
HSIC,Henry Schein,40.7835914,-73.4075575,40.78,-73.41
HSY,Hershey Company (The),40.2850285,-76.6534662,40.29,-76.65
HPE,Hewlett Packard Enterprise,29.7589382,-95.3676974,29.76,-95.37
HLT,Hilton Worldwide,38.9191272,-77.2229636,38.92,-77.22
HOLX,Hologic,42.3468589,-71.5525188,42.35,-71.55
HD,Home Depot (The),33.7544657,-84.3898151,33.75,-84.39
HON,Honeywell,35.2272086,-80.8430827,35.23,-80.84
HRL,Hormel Foods,43.6679992,-92.9746498,43.67,-92.97
HST,Host Hotels & Resorts,38.9812726,-77.1233587,38.98,-77.12
HWM,Howmet Aerospace,40.4416941,-79.9900861,40.44,-79.99
HPQ,HP Inc.,37.4443293,-122.1598465,37.44,-122.16
HUBB,Hubbell Incorporated,41.3546999,-73.1383092,41.35,-73.14
HUM,Humana,38.2542376,-85.759407,38.25,-85.76
HBAN,Huntington Bancshares,39.9622601,-83.0007065,39.96,-83.0
HII,Huntington Ingalls Industries,36.9775016,-76.42977,36.98,-76.43
IBM,IBM,41.132973,-73.7126064,41.13,-73.71
IEX,IDEX Corporation,42.2586461,-87.8407055,42.26,-87.84
IDXX,Idexx Laboratories,43.6763036,-70.3663874,43.68,-70.37
ITW,Illinois Tool Works,42.0700662,-87.8114044,42.07,-87.81
INCY,Incyte,39.7459468,-75.546589,39.75,-75.55
IR,Ingersoll Rand,35.7902384,-80.2115053,35.79,-80.21
PODD,Insulet Corporation,42.4850931,-71.43284,42.49,-71.43
INTC,Intel,37.3541132,-121.955174,37.35,-121.96
ICE,Intercontinental Exchange,33.7544657,-84.3898151,33.75,-84.39
IFF,International Flavors & Fragrances,40.7127281,-74.0060152,40.71,-74.01
IP,International Paper,35.1460249,-90.0517638,35.15,-90.05
IPG,Interpublic Group of Companies (The),40.7127281,-74.0060152,40.71,-74.01
INTU,Intuit,37.3893889,-122.0832101,37.39,-122.08
ISRG,Intuitive Surgical,37.3688301,-122.036349,37.37,-122.04
IVZ,Invesco,33.7544657,-84.3898151,33.75,-84.39
INVH,Invitation Homes,32.7762719,-96.7968559,32.78,-96.8
IQV,IQVIA,35.996653,-78.9018053,36.0,-78.9
IRM,Iron Mountain,42.3554334,-71.060511,42.36,-71.06
JBHT,J.B. Hunt,36.2553543,-94.1307587,36.26,-94.13
JBL,Jabil,27.7712264,-82.6340259,27.77,-82.63
JKHY,Jack Henry & Associates,36.9289518,-93.9277149,36.93,-93.93
J,Jacobs Solutions,32.7762719,-96.7968559,32.78,-96.8
JNJ,Johnson & Johnson,40.4951365,-74.4439254,40.5,-74.44
JPM,JPMorgan Chase,40.7127281,-74.0060152,40.71,-74.01
K,Kellanova,41.8755616,-87.6244212,41.88,-87.62
KVUE,Kenvue,40.4234145,-74.7077882,40.42,-74.71
KDP,Keurig Dr Pepper,42.5048167,-71.1956111,42.5,-71.2
KEY,KeyCorp,41.4996574,-81.6936772,41.5,-81.69
KEYS,Keysight Technologies,38.4404925,-122.7141049,38.44,-122.71
KMB,Kimberly-Clark,32.8295183,-96.9442177,32.83,-96.94
KIM,Kimco Realty,40.78743,-73.5434608,40.79,-73.54
KMI,Kinder Morgan,29.7589382,-95.3676974,29.76,-95.37
KKR,KKR & Co.,40.7127281,-74.0060152,40.71,-74.01
KLAC,KLA Corporation,37.4332273,-121.8989248,37.43,-121.9
KHC,Kraft Heinz,41.8755616,-87.6244212,41.88,-87.62
KR,Kroger,39.1014537,-84.5124602,39.1,-84.51
LHX,L3Harris,28.0785034,-80.6077908,28.08,-80.61
LH,Labcorp,36.0956918,-79.4377991,36.1,-79.44
LRCX,Lam Research,37.5482697,-121.988571,37.55,-121.99
LW,Lamb Weston,43.6954424,-116.3540138,43.7,-116.35
LVS,Las Vegas Sands,36.1674263,-115.1484131,36.17,-115.15
LDOS,Leidos,38.953282,-77.3464516,38.95,-77.35
LEN,Lennar,25.7741566,-80.1935973,25.77,-80.19
LII,Lennox International,32.9481789,-96.7297206,32.95,-96.73
