ticker,firm,county_fips,county_name,state,lat,lon
CPRT,Copart,1023,Edmonson,Kentucky,32.7762719,-96.7968559
GLW,Corning Inc.,1071,McCracken,Kentucky,42.1435257,-77.0543408
CPAY,Corpay,1029,Franklin,Kentucky,33.7544657,-84.3898151
CTVA,Corteva,1071,McCracken,Kentucky,39.7683331,-86.1583502
CSGP,CoStar Group,1019,Clinton,Kentucky,38.8950368,-77.0365427
COST,Costco,2130,Warren,Ohio,47.5348778,-122.043297
CTRA,Coterra,1097,Scott,Kentucky,29.7589382,-95.3676974
CRWD,CrowdStrike,1097,Scott,Kentucky,30.2711286,-97.7436995
CCI,Crown Castle,1097,Scott,Kentucky,29.7589382,-95.3676974
CSX,CSX Corporation,1069,Martin,Kentucky,30.3321838,-81.655651
CMI,Cummins,1071,McCracken,Kentucky,39.2014405,-85.9213796
CVS,CVS Health,1019,Clinton,Kentucky,42.0028761,-71.5147839
DHR,Danaher Corporation,1019,Clinton,Kentucky,38.8950368,-77.0365427
DRI,Darden Restaurants,1069,Martin,Kentucky,28.5421218,-81.379045
DDOG,Datadog,1019,Clinton,Kentucky,40.7127281,-74.0060152
DVA,DaVita,2016,Lamoure,North Dakota,39.7392364,-104.984862
DAY,Dayforce,1077,Metcalfe,Kentucky,44.9772995,-93.2654692
DECK,Deckers Brands,2016,Lamoure,North Dakota,34.4358295,-119.8276389
DE,Deere & Company,1077,Metcalfe,Kentucky,41.5058344,-90.5136642
DELL,Dell Technologies,1097,Scott,Kentucky,30.5085915,-97.6788056
DAL,Delta Air Lines,1029,Franklin,Kentucky,33.7544657,-84.3898151
DVN,Devon Energy,1075,Menifee,Kentucky,35.4729886,-97.5170536
DXCM,Dexcom,2016,Lamoure,North Dakota,32.7174202,-117.162772
FANG,Diamondback Energy,1023,Edmonson,Kentucky,31.83688,-102.0103767
DG,Dollar General,1083,Nicholas,Kentucky,36.3231067,-86.7133302
DLTR,Dollar Tree,1019,Clinton,Kentucky,36.7168315,-76.2494453
D,Dominion Energy,1019,Clinton,Kentucky,37.5385087,-77.43428
DASH,DoorDash,2016,Lamoure,North Dakota,37.7932754,-122.3963589
DOV,Dover Corporation,1077,Metcalfe,Kentucky,41.7936822,-88.0102281
